Course Code,Course Prefix,Course Number,Course Section,Season,Year,Course Name,Instructor,URL,Page,Link Index,Total Students,Grade A,Grade A-,Grade B+,Grade B,Grade B-,Grade C+,Grade C,Grade C-,Grade D,Grade F,Overall Mean,Overall StdDev,Overall Responses,StudyHours Mean,StudyHours StdDev,StudyHours Responses,Attendance Mean,Attendance StdDev,Attendance Responses,Valuable Comments,Improvement Comments,Credits,SBC,Prerequisites,Advisory
AAS102,AAS,102,01,Summer,2015,EASTERN RELIGIONS,Mary Diaz,https://classie-evals.stonybrook.edu/Section/details/AAS/102/01/LEC/1156/65497,1,0,8,3,0,1,0,2,2,0,0,0,0,,,,4.0,0.0,,4.0,0.0,,Definitely learned a lot!,"It would be helpful that if we have to buy a textbook, that if we use information found in the textbook we are not marked incorrect. I know Professor Diaz wants us to know specific things/interpretations, and she explains those in class, but for things I need more information on for it to sink in or for me to understand,  I don't want to be marked wrong if I pull information from the textbook.",3,,,
AAS102,AAS,102,01,Fall,2015,EASTERN RELIGIONS,Mary Diaz,https://classie-evals.stonybrook.edu/Section/details/AAS/102/01/LEC/1158/88222,1,1,44,2,8,4,10,9,6,0,1,1,3,,,,1.26,1.12,1.0,1.26,1.12,1.0,"Prof. Diaz gives you a review sheet for every exam that contains everything that you would need to know for the exam, her in-class (There was a out of class review session for the final) review sessions are most valuable because you can ask her questions that you don't know based on the review sheet she gives you. She's easy going and nice to talk to, if you need help, just ask for it, she'll make it easier for you. | Awesome teacher and very interesting material. 
Other than the improvements I wrote, I think this class was very pass-able and my knowledge on eastern religions has expanded greatly. Will remember most of this for personal interest even as a math major. | Being given a comprehensible translation of eastern religions and how their beliefs, and how they were influenced to think the way they do. | Gives you an introduction to the religions practiced in eastern religions | Professor was really nice and helpful when talking to her in person","Get a completely different professor to teach the course. Everything she said was a half answer with contradictory information. I learned nothing from this class. | Professor didn't know that much and wasn't very clear about what we needed to know. Her lectures were kind of rambly. | Professor talked way too fast, very hard to take notes and rarely wrote on board.
PowerPoint slides would be nice. | It would be nice to have a skeleton outline of what the lecture will be for the day. | If notes were posted on blackboard.
If there were slides during class.",3,,,
AAS102,AAS,102,01,Fall,2016,EASTERN RELIGIONS,Mary Diaz,https://classie-evals.stonybrook.edu/Section/details/AAS/102/01/LEC/1168/87997,1,2,54,5,12,11,7,5,5,5,2,0,1,,,,1.17,0.66,,1.17,0.66,,"I've always wanted to learn more about other religions from a neutral stand point, and while that is a practically impossible feat, learning in an educational setting gets pretty close, I'd say. Well, depending on the teacher, but I believe she did a decent job and trying to remain practical about what she teaches while also posing her own opinion - in a way to get the students to think for themselves, a bit. | There where a lot of great insights about the different religions. It was interesting and all the readings had meaning and where worth reading | I found that it was a relatively easy course if you take good notes and pay attention to every lecture and be present in class. | The way the teacher broke down the texts into simplified ideas was the most helpful | learning a lot about eastern religions.","This course could be extremely improved. The material is unclear and the tests and notes are run by what she says and writes on the board. When she writes on the board, it is just the spelling of a word. Her interpretation is usually the only acceptable one and if she believes that you read something off a textbook or online source, she will take off points. She trails off a lot during lecture and this class is one of my most tedious. I always feel lost and it is very disorganized. The test questions are extremely specific to things she only mentioned once. | I think it's hard  as a visual learner to  follow the lecture without many visual cues and only listening to professor's voice. Power point slides may be helpful to some students to better retain the info. | The teacher could follow a more set way of writing notes. There are many tangents and sometimes it can be hard to understand what is important. | Sometimes, the order in which the notes are presented is not always chronological, but that is a minor issue. | give us more extra credit opportunities. give us course or exam review outlines would be nice.",3,,,
AAS102,AAS,102,01,Fall,2017,EASTERN RELIGIONS,Mary Diaz,https://classie-evals.stonybrook.edu/Section/details/AAS/102/01/LEC/1178/85271,1,3,43,10,9,9,7,2,1,1,1,3,0,,,,1.59,0.76,,1.59,0.76,,"Although it was in a short period of time, a lot of information was covered and a lot of new knowledge was gained. This course was a great introduction to the variety of Eastern religions. It demonstrated many perspectives on religion as well as the culture of the East. Although we couldn't get into great detail regarding each specific religion, it gave the student a great introduction to many of the major religions which affected Eastern society and culture. If a student wants an introduction to Eastern religions, I would highly recommend this course. | I gained insights on eastern philosophy’s I didn’t previously have. I learned about forms of eastern religions I knew little about. Now I want to learn more. | I learnt how to write very fast because she dictates REALLY fast! | Stay open-minded to others. | learn a lot about religions","The only improvement would be the overall organization of the course and how it was presented. Otherwise, the overall experience and transmission of this course was well executed. | I'd love if she was more clear when explaining certain readings. She can be a bit vague and it's difficult to write an answer in the exam when you don't have a solid answer. | Exams shouldn't be test on very minute details. | I found it good the way it was. | No necessary to buy the book",3,,,
AAS102,AAS,102,30,Summer,2024,EASTERN RELIGIONS,Mary Diaz,https://classie-evals.stonybrook.edu/Section/details/AAS/102/30/LEC/1246/65558,1,4,16,9,2,2,0,1,0,0,0,0,2,,,,,0.5,,,0.5,,learning different religions and beliefs to apply it in real life to have a deeper understanding of different perspectives,using different ways to teach material besides the documentation lectures,3,,,
AAS102,AAS,102,30,Summer,2025,EASTERN RELIGIONS,Mary Diaz,https://classie-evals.stonybrook.edu/Section/details/AAS/102/30/LEC/1256/65162,1,5,19,4,4,5,1,4,0,0,0,1,0,,,,4.0,1.0,4.0,,,,,,3,,,
AAS110,AAS,110,01,Spring,2014,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1144/48101,1,6,53,34,8,8,2,0,1,0,0,0,0,,,,1.5,1.02,1.0,1.5,1.02,1.0,"I think my pitch perception has improves greatly which has helped me a lot in my singing I do outside of academics. 
I also did not know this much about classical music and I have truly learned to appreciate classical music much more than I did before. I actually wish I had classical background after taking this class. | This class is amazing and prepares well to understand notes. It has increased my passion for music and I am planning to improve myself. | It taught me a lot about how music differs depending on its origin and gave me more of an insight into Indian culture. | This course did have a very cultural feel to it. It was occasionally enjoyable because of  the professor's singing. | I found it opened me up to a whole different form of music and let me delve into my heritage a little further.","Professor is a little too harsh on the students. The material is hard to grasp for non-Indian students and I don't believe that is taken into account. Also, the attendance policy is unreasonably strict. The professor also posted assignments late in the night to be done for the following morning which isn't fair for the students who go to bed at a reasonable time. She also isn't very approachable. | Post assignments further in advance. Do not expect students to have completed a reading or an assignment if you tell them about it at 11:59 the night before. So down; there is a lot of vocabulary words that I have never heard before, and you speed through them with an accent I am unfamiliar with, so I get lost very often. | More organized. Give more time to do assignments and not post them the night (9 pm sometimes) they were due. Also, discuss material more in class that is assigned. It cannot be expected of the student to take away every little detail from the readings, it should be supplemented in class more. | She could be much clearer during lecture, writing hindi words on the board for non hindi speakers. She should also not assign things at 12 am the night before something is due then expect us to do it. her tests are hard and difficult to understand what she is asking for on many questions. | Techer needs to realize that not everybody has a musical background let alone Indian classical music. 
She needs to focus more on correlating music theories with real instrument sessions. A
Grading someone based on their Pitch perception is totally unjust ad unfair.",3,ARTS,,
AAS110,AAS,110,01,Summer,2014,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1146/62429,1,7,13,9,3,1,0,0,0,0,0,0,0,,,,1.5,0.98,,1.5,0.98,,"I learned more about music theory than I ever did in the rest of my life, even if it was through a contrast to classical Indian music. | The most valuable thing I found about this course is how informative it is about Indian music. | instructor is very nice and it is fun to learn indian music | She is very enthusiastic with the course material. | How passionate the professor was","The book is poorly written. It does not lay the material out clearly and completely. Instead, it has a tendency to jump around, and it fails to explore some of the topics fully. To make up for this, the professor could fully cover the material in class, perhaps hand out some sort of study guide with all of the necessary terms and info. It would also help if she fully explained her expectations of the class. | I think less focus should be put on pitch perception and more on words, concepts and understanding the difference between each raga. | More clear on expectations and assignments | More writing on the board. | more assignment needed",3,ARTS,,
AAS110,AAS,110,01,Spring,2015,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1154/47693,1,8,30,21,7,2,0,0,0,0,0,0,0,,,,1.21,0.67,,1.21,0.67,,"The course helped me learn more about classical Indian music. The professor is very knowledgeable and kind, she really wants students to learn and understand the concepts rather than just memorize them. You definitely had to do the readings and pay attention and take notes in class but overall it was a good dec G | This course taught me some really valuable lessons regarding the classical Indian Music. I feel more skillful in detecting different aspects of classical Indian Music | Very interesting course.  The professor made the course more interesting than I expected it to be and broadened my interests in indian music. | Really learn something about Indian music. Raga and other things. And you will learn some basic sounding skill in Indian music ! Great. | The thing I found most valuable about this course was that the professor was personable and was able to connect with the class.","At the beginning of the semester, Professor Sharma's expectation of students was very clear. There was a set of information that we needed to know and we were tested on that material only. Almost halfway through the semester, the information that we were expected to know became very unclear and that was evident in the grades of our class.  We were told that we would be tested on certain information and then other additional information wold be on the exam making it impossible to adequately prepare for exams. On one exam we were informed by email just an hour before class that an additional topic was added to the test.  For students that have no background knowledge of this course material or the culture before taking this class, it is extremely difficult. | Course could be improved by providing us with more time for certain things like getting more information on when the paper was due and what the professor wanted in the paper. Maybe include some multiple choice questions on quizzes or exams since they were all write ins. | Less focus on singing and rehearsal of material and more information pertaining to the history and important figures within the genre | This course should have more extra credit options so that students can show their talents and improve their grades simultaneously. | The course could be improved if the professor made it a little more clear what she expected from the class.",3,ARTS,,
AAS110,AAS,110,01,Fall,2015,APPRECIATING INDIAN MUSIC,Aruna Sharma,https://classie-evals.stonybrook.edu/Section/details/AAS/110/01/LEC/1158/90323,1,9,54,39,13,2,0,0,0,0,0,0,0,,,,1.31,0.52,,1.31,0.52,,"She really helps us understand the concepts rather than just cramming everything before the exam. She stresses how understanding is important and she is completely right. For this class, I don't think cramming would work because we have to be able to explain everything we are talking about rather than just state something verbatim from the book. | I enjoyed learning about classical Indian music, which is a subject I would have never explored had I not taken the class.  Prof. Sharma has a beautiful voice, and I love hearing her sing.  She is effective in getting students to participate in her class, and going to class allows me to learn a lot through hearing her speak and singing along. | I have not taken a music class since I was very young. Being Indian myself, it was very nice learning about my roots and the different kinds of music. I really enjoyed singing different ragas in class-it was very relaxing and calmed my nerves. | I found valuable the real singing experience given by the professor, who is an excellent singer. She gives examples and such to show exactly what she is talking about, instead of just having us guess at what the musical term might mean. | The enormous amount of rich Hindustani classical music theory learned, relating this style to all different types of music. Interactive lectures where students are encouraged to sing and relate to the material on a personal level.","The textbook should not have been so expensive, especially since they are basically excerpts from other books. However if that cannot be changed, the course can be improved by having less favoritism towards certain students. Although it is understandable to ask those who may know the answer to the question, it came off unfortunately slightly discriminatory. It was interesting overall though. | Quizzes were very tough. It took away from learning because it was very hard for me to do well on the quizzes. I really enjoyed the class but wish the quizzes were a bit easier (multiple choice). | I think that maybe give us more time for making our presentations, at least a week, but even though we didn't get a whole week, the project was very doable so I have no complaints. | There seems to be material tested on the exams that is very slightly reviewed in class. There should be more time spent going over book material before a test before taking it | If the instructor actually taught the subject matter instead of just telling us to read the book and quizzing us on it the next day, it wouldve been an okay class.",3,ARTS,,
